Problema,Camiones,Objetivo Promedio,Mejor Objetivo,Tiempo de Ejecuci�n Promedio
burma14.tsp,2,1.948,1.76,0.4453
burma14.tsp,3,1.762,1.76,0.493
burma14.tsp,4,1.798,1.76,0.5224
burma14.tsp,5,1.762,1.76,0.5497
ulysses22.tsp,2,5.544,5.14,0.5869
ulysses22.tsp,3,5.14,5.14,0.594
ulysses22.tsp,4,5.142,5.14,0.6465
ulysses22.tsp,5,5.14,5.14,0.688
bayg29.tsp,2,594.26,537.32,0.7767
bayg29.tsp,3,504.034,410.57,0.8596
bayg29.tsp,4,447.5,428.82,0.898
bayg29.tsp,5,406.212,362.73,1.058
att48.tsp,2,2854.734,2569.72,1.368
att48.tsp,3,2475.536,2152.19,1.5571
att48.tsp,4,2196.176,1899.38,1.8825
att48.tsp,5,2063.828,1655.2,1.7931
berlin52.tsp,2,515.656,459.45,1.6171
berlin52.tsp,3,465.312,397.27,1.9919
berlin52.tsp,4,449.168,377.7,2.421
berlin52.tsp,5,395.386,314.41,2.156
st70.tsp,2,59.262,53.87,3.2205
st70.tsp,3,50.39,44.7,3.7663
st70.tsp,4,44.348,39.65,3.5268
st70.tsp,5,38.632,32.23,2.9279
gr96.tsp,2,42.174,35.35,6.6307
gr96.tsp,3,38.922,36.54,7.498
gr96.tsp,4,30.024,27.06,5.7852
gr96.tsp,5,29.204,24.92,6.7054
kroA100.tsp,2,2217.79,2019.52,5.6898
kroA100.tsp,3,1808.148,1624.3,9.0998
kroA100.tsp,4,1598.458,1444.72,9.546
kroA100.tsp,5,1388.466,991.13,8.7352
kroB100.tsp,2,2210.74,1794.43,7.1566
kroB100.tsp,3,1837.044,1420.01,8.7817
kroB100.tsp,4,1512.934,1368.32,8.9486
kroB100.tsp,5,1269.756,1057.67,7.6737
kroC100.tsp,2,2290.842,2113.03,8.5687
kroC100.tsp,3,1910.348,1543.79,6.0327
kroC100.tsp,4,1597.062,1285.05,8.9325
kroC100.tsp,5,1587.252,1286.57,9.1546
kroD100.tsp,2,2110.164,1951.19,6.5125
kroD100.tsp,3,1793.202,1657.95,8.8602
kroD100.tsp,4,1642.266,1226.57,8.1292
kroD100.tsp,5,1451.45,1319.8,8.9824
kroE100.tsp,2,2081.71,1838.17,8.0936
kroE100.tsp,3,1730.198,1542.87,8.8855
kroE100.tsp,4,1551.392,1215.22,8.1546
kroE100.tsp,5,1404.918,1289.75,8.7137
